id,code,name,parent_id/id,sequence_no
AP,AP,Printers,,1
AP-MM,AP-MM,MendelMax,AP,2
AP-PG,AP-PG,Aleph Printers,AP,1
AP-PR,AP-PR,Prusa,AP,2
DC,DC,Documents,,1
DC-LB,DC-LB,Labels,DC,18
DC-MN,DC-MN,Manuals,DC,9
DC-MS,DC-MS,Misc,DC,20
EL,EL,Electronics,,1
EL-CA,EL-CA,Cables,EL,40
EL-FA,EL-FA,Fans,EL,11
EL-HB,EL-HB,Heatbed,EL,10
EL-HR,EL-HR,Harness,EL,30
EL-MS,EL-MS,Misc,EL,138
EL-MT,EL-MT,Motors,EL,15
EL-PS,EL-PS,Power Supplies,EL,18
EL-SD,EL-SD,"Solder, flux",EL,9
EL-SW,EL-SW,Switches,EL,21
EL-TH,EL-TH,Thermistor,EL,8
EL-WR,EL-WR,Wire,EL,98
EX,EX,Extruders,,6
FR,FR,Furniture,,1
FR-BH,FR-BH,Building Hardware,FR,15
FR-BN,FR-BN,Bench,FR,6
FR-CH,FR-CH,Chair,FR,12
FR-DK,FR-DK,Desk,FR,13
FR-FU,FR-FU,Furnishings,FR,46
FR-ST,FR-ST,Storage,FR,123
FR-TB,FR-TB,Table,FR,23
HD,HD,Hardware,,1
HD-BL,HD-BL,Belts,HD,14
HD-BT,HD-BT,Bolts,HD,109
HD-BU,HD-BU,Bushings,HD,13
HD-CA,HD-CA,Casting Materials,HD,6
HD-EX,HD-EX,Extrusions,HD,50
HD-MS,HD-MS,Misc,HD,171
HD-NT,HD-NT,Nuts,HD,44
HD-RD,HD-RD,Rods,HD,34
HD-TB,HD-TB,Tubing,HD,45
HD-WA,HD-WA,Washers,HD,33
HE,HE,Hot Ends,,1
HE-SH,HE-SH,All assembled hot ends,HE,27
KT,KT,Kits,,1
KT-CP,KT-CP,Components/Sub-assemblies,KT,58
KT-EL,KT-EL,Electronics Kits,KT,10
KT-MK,KT-MK,Makerbot Kits,KT,12
KT-PP,KT-PP,Plastic Parts Kits,KT,14
KT-PR,KT-PR,Full Printers,KT,29
KT-SC,KT-SC,Shapercube Kits,KT,4
KT-UL,KT-UL,Ultimaker Kits,KT,3
MK,MK,Marketing,,1
MK-AP,MK-AP,Apparel,MK,13
MK-DM,MK-DM,Display Materials,MK,7
MK-MS,MK-MS,Misc,MK,16
MK-ST,MK-ST,Stickers,MK,1
OF,OF,Office Supplies,,1
OF-BK,OF-BK,Books/Media,OF,37
OF-CP,OF-CP,Computers/Hardware,OF,135
OF-CS,OF-CS,Consumable,OF,196
OF-MS,OF-MS,Misc,OF,195
OF-PA,OF-PA,Paper/Notepads,OF,25
OF-PR,OF-PR,Printers,OF,9
OF-WU,OF-WU,Writing Utensils ,OF,26
PC,PC,PCBs & Components,,1
PC-AS,PC-AS,Assembled,PC,32
PC-BD,PC-BD,Boards,PC,31
PC-CA,PC-CA,Capacitor,PC,16
PC-CN,PC-CN,Connectors,PC,32
PC-DD,PC-DD,Diodes,PC,1
PC-KT,PC-KT,Kits,PC,12
PC-LE,PC-LE,LED/lights,PC,13
PC-MS,PC-MS,Misc,PC,24
PC-RE,PC-RE,Resistors,PC,33
PP,PP,Parts,,1
PP-CP,PP-CP,Cast Parts,PP,1
PP-FP,PP-FP,Fabricated Parts,PP,34
PP-GP,PP-GP,Grown Parts,PP,151
PP-IM,PP-IM,Injection Molded Parts,PP,1
PP-IS,PP-IS,Grown Parts with Inserts,PP,16
PP-MP,PP-MP,Machined Parts,PP,80
RM,RM,Raw Materials,,1
RM-AB,RM-AB,ABS Filament,RM,92
RM-AL,RM-AL,Aluminum,RM,3
RM-HI,RM-HI,High Impact Polystyrene Filament,RM,21
RM-LB,RM-LB,Laybrick Filament,RM,2
RM-NY,RM-NY,Nylon Filament,RM,8
RM-PB,RM-PB,Print Board Surface,RM,2
RM-PE,RM-PE,PET & PET blends Filament,RM,2
RM-PL,RM-PL,PLA Filament,RM,43
RM-PV,RM-PV,PVA filament,RM,2
RM-PY,RM-PY,Polycarbonate Filament,RM,2
RM-WD,RM-WD,Wood Filament,RM,5
RM-WO,RM-WO,Wood Materials,RM,3
SH,SH,Shipping,,1
SH-BX,SH-BX,Boxes/tubes,SH,33
SH-MS,SH-MS,Misc,SH,27
SH-PA,SH-PA,Packing Material,SH,22
SH-PG,SH-PG,Packaging Material,SH,62
SH-SE,SH-SE,Service,SH,49
TL,TL,Tools,,1
TL-CS,TL-CS,Consumable,TL,95
TL-EL,TL-EL,Electronics Tools,TL,53
TL-HD,TL-HD,Hand Tools,TL,161
TL-MS,TL-MS,Misc,TL,89
TL-PW,TL-PW,Power Tools,TL,51
