"id","active","factor_inv","create_uid/id","create_date","write_uid/id","write_date","factor","rounding","uom_type","name","category_id/id"
"product.product_uom_cm","True","0.01","base.user_admin","2011-08-31 14:24:32","","","100.0","0.01","Smaller than the reference Unit of Measure","cm","product.uom_categ_length"
"__export__.product_uom_75","True","10.0","__export__.res_users_25","2014-10-10 13:45:23","__export__.res_users_25","2014-10-10 13:45:23","0.1","0.01","Smaller than the reference Unit of Measure","Coil, 0.1kg","product.product_uom_categ_kgm"
"__export__.product_uom_56","True","2.0","__export__.res_users_61","2013-12-26 22:15:09","__export__.res_users_77","2014-07-30 18:11:28","0.5","0.01","Smaller than the reference Unit of Measure","Coil, 0.5 kg","product.product_uom_categ_kgm"
"__export__.product_uom_36","True","1.0","__export__.res_users_4","2011-12-11 16:57:40","__export__.res_users_4","2013-01-21 06:15:37","1.0","0.01","Smaller than the reference Unit of Measure","Coil, 1kg","product.product_uom_categ_kgm"
"__export__.product_uom_37","True","0.453592","__export__.res_users_4","2011-12-11 17:03:26","__export__.res_users_77","2014-07-30 18:12:46","2.20462442018","0.01","Smaller than the reference Unit of Measure","Coil, 1lb","product.product_uom_categ_kgm"
"__export__.product_uom_43","True","13.6078","__export__.res_users_4","2012-01-31 14:35:39","__export__.res_users_77","2014-07-30 18:13:19","0.073487264657","0.01","Bigger than the reference Unit of Measure","Coil, 30lb","product.product_uom_categ_kgm"
"__export__.product_uom_26","True","2.26796","__export__.res_users_4","2011-12-08 21:53:48","__export__.res_users_77","2014-07-30 18:13:50","0.440924884037","0.01","Bigger than the reference Unit of Measure","Coil, 5lb","product.product_uom_categ_kgm"
"product.product_uom_day","True","1.0","base.user_admin","2011-08-31 14:24:32","","","1.0","0.01","Reference Unit of Measure for this category","Day","product.uom_categ_wtime"
"__export__.product_uom_74","True","1.0","__export__.res_users_25","2014-10-10 13:43:45","__export__.res_users_25","2014-10-10 13:44:39","1.0","0.01","Reference Unit of Measure for this category","DO NOT USE Coil, 0.1 kg","__export__.product_uom_categ_6"
"__export__.product_uom_58","True","1.0","__export__.res_users_61","2014-01-07 18:28:04","__export__.res_users_25","2014-07-08 19:27:29","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-.086","__export__.product_uom_categ_6"
"__export__.product_uom_59","True","1.0","__export__.res_users_61","2014-01-14 21:56:36","__export__.res_users_4","2014-07-08 19:07:53","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-box","__export__.product_uom_categ_6"
"__export__.product_uom_62","True","1.0","__export__.res_users_29","2014-02-18 18:43:36","__export__.res_users_25","2014-07-08 19:27:38","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-ft, 6","__export__.product_uom_categ_6"
"__export__.product_uom_54","True","1.0","__export__.res_users_61","2013-12-18 19:39:36","__export__.res_users_4","2014-07-08 19:07:29","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-pcs","__export__.product_uom_categ_6"
"__export__.product_uom_60","True","1.0","__export__.res_users_61","2014-01-15 17:43:32","__export__.res_users_25","2014-07-08 19:27:14","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-pkg.50","__export__.product_uom_categ_6"
"__export__.product_uom_61","True","1.0","__export__.res_users_61","2014-01-16 15:50:41","__export__.res_users_25","2014-07-08 19:26:58","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-Pkg,50","__export__.product_uom_categ_6"
"__export__.product_uom_65","True","1.0","__export__.res_users_25","2014-05-13 15:40:35","__export__.res_users_25","2014-07-08 19:21:35","1.0","0.01","Reference Unit of Measure for this category","DONTUSE-Reel, 0.5 kg","__export__.product_uom_categ_6"
"product.product_uom_dozen","True","12.0","base.user_admin","2013-04-06 00:07:48","base.user_admin","2013-04-06 00:07:48","0.0833333333333","0.01","Bigger than the reference Unit of Measure","Dozen(s)","product.product_uom_categ_unit"
"__export__.product_uom_79","True","1.0","__export__.res_users_120","2014-10-29 14:50:56","__export__.res_users_120","2014-10-29 14:50:56","1.0","0.01","Reference Unit of Measure for this category","ea","__export__.product_uom_categ_6"
"__export__.product_uom_48","True","1.0","__export__.res_users_11","2012-07-20 17:18:27","__export__.res_users_4","2012-08-01 17:15:09","1.0","0.01","Reference Unit of Measure for this category","Each - OLD","product.product_uom_categ_unit"
"product.product_uom_floz","True","0.0295735494174","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","33.814","0.01","Smaller than the reference Unit of Measure","fl oz","product.product_uom_categ_vol"
"product.product_uom_foot","True","0.304799990246","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","3.28084","0.01","Smaller than the reference Unit of Measure","foot(ft)","product.uom_categ_length"
"__export__.product_uom_11","True","0.304785126486","base.user_admin","2011-10-04 14:23:03","base.user_admin","2015-12-14 16:03:22","3.281","0.01","Smaller than the reference Unit of Measure","ft","product.uom_categ_length"
"__export__.product_uom_40","True","3.048","__export__.res_users_4","2011-12-25 16:18:54","__export__.res_users_4","2011-12-25 16:19:26","0.328083989501","0.01","Bigger than the reference Unit of Measure","ft, 10","product.uom_categ_length"
"__export__.product_uom_12","True","30.4804","base.user_admin","2011-10-12 14:17:07","base.user_admin","2011-10-13 11:27:20","0.0328079683994","0.01","Bigger than the reference Unit of Measure","ft, 100","product.uom_categ_length"
"__export__.product_uom_64","True","304.8037","__export__.res_users_16","2014-03-17 21:52:04","__export__.res_users_77","2014-09-12 14:48:42","0.00328080006903","0.01","Bigger than the reference Unit of Measure","ft, 1000","product.uom_categ_length"
"__export__.product_uom_90","True","1.0","__export__.res_users_117","2015-01-22 21:26:54","__export__.res_users_117","2015-01-22 21:27:25","1.0","0.01","Bigger than the reference Unit of Measure","ft, 165","product.uom_categ_length"
"__export__.product_uom_89","True","1.0","__export__.res_users_117","2015-01-22 21:25:00","__export__.res_users_117","2015-01-22 21:25:00","1.0","0.01","Reference Unit of Measure for this category","ft, 165  ","product.uom_categ_length"
"__export__.product_uom_87","True","1.0","__export__.res_users_117","2015-01-22 21:23:55","__export__.res_users_117","2015-01-22 21:23:55","1.0","0.01","Reference Unit of Measure for this category","FT, 165","__export__.product_uom_categ_6"
"__export__.product_uom_88","True","1.0","__export__.res_users_117","2015-01-22 21:24:29","__export__.res_users_117","2015-01-22 21:24:29","1.0","0.01","Reference Unit of Measure for this category","FT, 165 ","product.uom_categ_length"
"__export__.product_uom_55","True","6.096","__export__.res_users_5","2013-12-24 17:02:39","__export__.res_users_5","2013-12-24 17:03:40","0.164041994751","0.01","Bigger than the reference Unit of Measure","ft, 20","product.uom_categ_length"
"__export__.product_uom_99","True","1.0","__export__.res_users_117","2015-05-01 21:08:47","__export__.res_users_117","2015-05-01 21:08:47","1.0","0.01","Reference Unit of Measure for this category","ft, 25","__export__.product_uom_categ_6"
"__export__.product_uom_38","True","76.2021","__export__.res_users_4","2011-12-12 11:59:10","__export__.res_users_4","2011-12-12 11:59:47","0.0131229979226","0.01","Bigger than the reference Unit of Measure","ft, 250","product.uom_categ_length"
"__export__.product_uom_78","True","1.0","__export__.res_users_29","2014-10-28 21:35:02","__export__.res_users_29","2014-10-28 21:35:02","1.0","0.01","Reference Unit of Measure for this category","ft ,30","product.uom_categ_length"
"__export__.product_uom_23","True","91.4411","__export__.res_users_4","2011-12-08 20:29:02","__export__.res_users_4","2011-12-08 20:29:36","0.0109360014261","0.01","Bigger than the reference Unit of Measure","ft, 300","product.uom_categ_length"
"__export__.product_uom_92","True","1.0","__export__.res_users_117","2015-02-24 17:12:20","__export__.res_users_117","2015-02-24 17:12:20","1.0","0.01","Reference Unit of Measure for this category","ft, 3200","__export__.product_uom_categ_6"
"__export__.product_uom_70","True","1.2192","__export__.res_users_77","2014-09-17 21:29:00","__export__.res_users_77","2014-10-20 14:58:09","0.820209973753","0.01","Bigger than the reference Unit of Measure","ft, 4","product.uom_categ_length"
"__export__.product_uom_83","True","3.28084","__export__.res_users_117","2014-11-12 18:01:23","__export__.res_users_117","2014-11-12 18:07:56","0.304799990246","0.01","Bigger than the reference Unit of Measure","ft, 450","product.uom_categ_length"
"__export__.product_uom_27","True","15.24","__export__.res_users_4","2011-12-09 09:10:31","__export__.res_users_4","2011-12-09 09:11:01","0.0656167979003","0.01","Bigger than the reference Unit of Measure","ft, 50","product.uom_categ_length"
"__export__.product_uom_97","True","152.4","__export__.res_users_5","2015-04-06 18:06:53","__export__.res_users_5","2015-04-06 18:09:12","0.00656167979003","0.01","Bigger than the reference Unit of Measure","ft, 500","product.uom_categ_length"
"__export__.product_uom_95","True","1.0","__export__.res_users_117","2015-04-06 17:52:00","__export__.res_users_5","2015-04-06 18:06:26","1.0","0.01","Bigger than the reference Unit of Measure","ft, 500 (old do not use)","__export__.product_uom_categ_6"
"__export__.product_uom_96","True","1.0","__export__.res_users_117","2015-04-06 17:59:15","__export__.res_users_5","2015-04-06 18:06:17","1.0","0.01","Reference Unit of Measure for this category","ft, 500 (old do not use)","__export__.product_uom_categ_6"
"__export__.product_uom_82","True","1.0","__export__.res_users_117","2014-11-04 00:07:42","__export__.res_users_117","2014-11-04 00:07:42","1.0","0.01","Reference Unit of Measure for this category","ft, 7,200","product.uom_categ_length"
"__export__.product_uom_80","True","1.0","__export__.res_users_117","2014-10-30 17:42:12","__export__.res_users_117","2014-10-30 17:42:12","1.0","0.01","Reference Unit of Measure for this category","ft, 90","product.uom_categ_length"
"product.product_uom_gram","True","0.001","base.user_admin","2011-08-31 14:24:32","__export__.res_users_77","2014-07-30 18:14:12","1000.0","0.01","Smaller than the reference Unit of Measure","g","product.product_uom_categ_kgm"
"product.product_uom_gal","True","3.78541","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","0.264172176858","0.01","Bigger than the reference Unit of Measure","gal(s)","product.product_uom_categ_vol"
"product.product_uom_hour","True","0.125","base.user_admin","2011-08-31 14:24:32","","","8.0","0.01","Smaller than the reference Unit of Measure","Hour","product.uom_categ_wtime"
"product.product_uom_inch","True","0.025399986284","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","39.3701","0.01","Smaller than the reference Unit of Measure","inch(es)","product.uom_categ_length"
"product.product_uom_kgm","True","1.0","base.user_admin","2011-08-31 14:24:32","","","1.0","0.01","Reference Unit of Measure for this category","kg","product.product_uom_categ_kgm"
"__export__.product_uom_85","True","1.0","__export__.res_users_78","2014-12-31 22:59:54","__export__.res_users_78","2014-12-31 22:59:54","1.0","0.01","Reference Unit of Measure for this category","kg","__export__.product_uom_categ_6"
"product.product_uom_km","True","1000.0","base.user_admin","2011-08-31 14:24:32","","","0.001","0.01","Bigger than the reference Unit of Measure","km","product.uom_categ_length"
